"Timestamp","1. Сколько лет вы работаете в компании?","2. Какую должность вы занимаете?","3. Как часто вы принимаете самостоятельные решения?","4. На сколько правильно вы устанавливаете распорядок рабочего дня?","5. На сколько вы способны работать в коллективе?","6. Способны ли вы делегировать полномочия?","7. Насколько точно вы оцениваете время выполнения задачи?","8. Насколько грамотно вы можете ставить и описывать задачи по проекту?","9. Можете ли вы найти оптимальное решение проблемы?","10. Умеете ли вы решать “нерешаемые” задачи?"
"2016/03/01 12:02:16 pm GMT+4","От 1 года до 3 лет.","Исполнительный директор","Всегда принимаю важные решения самостоятельно (вне зависимости от сложности и важности задачи).","Опаздываю, никогда не укладываюсь в сроки.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Прекрасно управляюсь с множеством задач. Могу заниматься лишь их описанием и проверкой результата, не написав ни единой строчки кода.","Могу разделить задачу, оценить каждую часть и посчитать сумму.","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Оптимальные решения - это не моё!","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
"2016/03/01 12:02:46 pm GMT+4","Менее 1 года.","инженер-программист","Принимаю самостоятельно решения, когда это необходимо.","Если не успеваю, остаюсь на вечер.","Умею находить общий язык с коллегами.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Хорошо делю задачи на логические части, знаю кто из сотрудников с чем справится.","Могу оценить аналогичную задачу (ранее выполненную).","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Всегда проверяю оптимальность решения задачи. Если в будущем найду лучшее решение, то вынесу вопрос о его внедрении в проект.","Погуглю. Поищу нужную информацию. Поспрашиваю может кто-что знает. Найду решение в конце концов, но затратив много времени."
"2016/03/01 12:05:06 pm GMT+4","От 1 года до 3 лет.","PM","Знаю проект и принимаю решения самостоятельно (готов отвечать за свой выбор).","Ценю свою время, прикладываю все усилия чтобы уложиться в срок.","Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Могу отдать маленькую подзадачу на менее опытного сотрудника. Если не справится - не критично, сам исправлю.","Могу оценить аналогичную задачу (ранее выполненную).","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу решение задачи. Делаю так, чтобы все просто работало.","Погуглю. Поищу нужную информацию. Поспрашиваю может кто-что знает. Найду решение в конце концов, но затратив много времени."
"2016/03/01 12:05:16 pm GMT+4","Более 3 лет.","team-lead","Знаю проект и принимаю решения самостоятельно (готов отвечать за свой выбор).","Ценю свою время, прикладываю все усилия чтобы уложиться в срок.","Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Прекрасно управляюсь с множеством задач. Могу заниматься лишь их описанием и проверкой результата, не написав ни единой строчки кода.","Знаю сколько времени будет потрачено (основываюсь на личном опыте).","Могу всегда коротко и ясно изложить суть задачи.","Всегда проверяю оптимальность решения задачи. Если в будущем найду лучшее решение, то вынесу вопрос о его внедрении в проект.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
"2016/03/01 12:10:57 pm GMT+4","Более 3 лет.","Зам. директора","Всегда принимаю важные решения самостоятельно (вне зависимости от сложности и важности задачи).","Ценю свою время, прикладываю все усилия чтобы уложиться в срок.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Грамотно и быстро могу разделить/объединить задачи, сам выполняю не обязательно главную часть. Разбираюсь в проделанной работе.","Могу оценить аналогичную задачу (ранее выполненную).","Могу всегда коротко и ясно изложить суть задачи.","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
"2016/03/01 12:12:30 pm GMT+4","Менее 1 года.","","Хорошо ориентируюсь в проекте - могу предложить несколько рабочих вариантов решения проблемы.","Если не успеваю, остаюсь на вечер.","Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.","Никогда не делегирую задачи. Сделаю всё сам, но зато правильно и проверять не надо!","Знаю сколько времени будет потрачено (основываюсь на личном опыте).","Расписываю/объясняю всё точно, поэтапно (возможно с примерами или указаниями на возможные решения).","Нахожу решение задачи. Делаю так, чтобы все просто работало.","Погуглю, посмотрю tutorial-ы, спрошу у коллег. Задачу решу! Но бывает “встаю в ступор” над подобными задачами."
"2016/03/01 12:14:42 pm GMT+4","Менее 1 года.","разработчик мобильного по","Хорошо ориентируюсь в проекте - могу предложить несколько рабочих вариантов решения проблемы.","Ценю свою время, прикладываю все усилия чтобы уложиться в срок.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Грамотно и быстро могу разделить/объединить задачи, сам выполняю не обязательно главную часть. Разбираюсь в проделанной работе.","Могу разделить задачу, оценить каждую часть и посчитать сумму.","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
"2016/03/01 12:16:34 pm GMT+4","От 1 года до 3 лет.","developer","Принимаю самостоятельно решения, когда это необходимо.","Если не успеваю, остаюсь на вечер.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Хорошо делю задачи на логические части, знаю кто из сотрудников с чем справится.","Ошибаюсь в оценке не более чем на ⅓ от реального времени.","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Погуглю. Поищу нужную информацию. Поспрашиваю может кто-что знает. Найду решение в конце концов, но затратив много времени."
"2016/03/01 12:25:49 pm GMT+4","Более 3 лет.","неплохую","Всегда принимаю важные решения самостоятельно (вне зависимости от сложности и важности задачи).","Ценю свою время, прикладываю все усилия чтобы уложиться в срок.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Прекрасно управляюсь с множеством задач. Могу заниматься лишь их описанием и проверкой результата, не написав ни единой строчки кода.","Могу разделить задачу, оценить каждую часть и посчитать сумму.","Могу всегда коротко и ясно изложить суть задачи.","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
"2016/03/01 12:35:07 pm GMT+4","Менее 1 года.","lead","Всегда принимаю важные решения самостоятельно (вне зависимости от сложности и важности задачи).","Иногда не успеваю, откладываю на следующий день.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Могу отдать маленькую подзадачу на менее опытного сотрудника. Если не справится - не критично, сам исправлю.","Могу оценить аналогичную задачу (ранее выполненную).","Расписываю/объясняю всё точно, поэтапно (возможно с примерами или указаниями на возможные решения).","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Погуглю, посмотрю tutorial-ы, спрошу у коллег. Задачу решу! Но бывает “встаю в ступор” над подобными задачами."
"2016/03/01 12:57:33 pm GMT+4","Более 3 лет.","Начальник отдела","Хорошо ориентируюсь в проекте - могу предложить несколько рабочих вариантов решения проблемы.","Иногда не успеваю, откладываю на следующий день.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Грамотно и быстро могу разделить/объединить задачи, сам выполняю не обязательно главную часть. Разбираюсь в проделанной работе.","Могу разделить задачу, оценить каждую часть и посчитать сумму.","Могу всегда коротко и ясно изложить суть задачи.","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
"2016/03/01 1:51:23 pm GMT+4","Более 3 лет.","программист","Хорошо ориентируюсь в проекте - могу предложить несколько рабочих вариантов решения проблемы.","Иногда не успеваю, откладываю на следующий день.","Соблюдаю правила внутри коллектива (график/распорядок/субординация).;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.","Могу отдать маленькую подзадачу на менее опытного сотрудника. Если не справится - не критично, сам исправлю.","Могу оценить аналогичную задачу (ранее выполненную).","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Погуглю. Поищу нужную информацию. Поспрашиваю может кто-что знает. Найду решение в конце концов, но затратив много времени."
"2016/03/01 9:26:17 pm GMT+4","Менее 1 года.","junior_01","Никогда не принимаю решения (на это есть начальник/старший разработчик).","Иногда не успеваю, откладываю на следующий день.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.","Никогда не делегирую задачи. Сделаю всё сам, но зато правильно и проверять не надо!","Не умею оценивать задачи (никогда не пробовал).","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу решение задачи. Делаю так, чтобы все просто работало.","Бегло погуглю. Могу испугаться, буду просить помощи более опытного разработчика взяться за решение проблемы."
"2016/03/01 9:27:10 pm GMT+4","Менее 1 года.","junior_02","Принимаю самостоятельно решения, когда это необходимо.","Всегда делаю все вовремя.","Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Никогда не делегирую задачи. Сделаю всё сам, но зато правильно и проверять не надо!","Ошибаюсь в оценке не более чем на ⅓ от реального времени.","Не описываю задачи. Если будет необходимость, коллеги сами у меня все спросят.","Оптимальные решения - это не моё!","Погуглю. Поищу нужную информацию. Поспрашиваю может кто-что знает. Найду решение в конце концов, но затратив много времени."
"2016/03/01 9:27:47 pm GMT+4","От 1 года до 3 лет.","middle_01","Хорошо ориентируюсь в проекте - могу предложить несколько рабочих вариантов решения проблемы.","Если не успеваю, остаюсь на вечер.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Хорошо делю задачи на логические части, знаю кто из сотрудников с чем справится.","Могу разделить задачу, оценить каждую часть и посчитать сумму.","Могу всегда коротко и ясно изложить суть задачи.","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Погуглю, посмотрю tutorial-ы, спрошу у коллег. Задачу решу! Но бывает “встаю в ступор” над подобными задачами."
"2016/03/01 9:28:25 pm GMT+4","От 1 года до 3 лет.","middle_02","Хорошо ориентируюсь в проекте - могу предложить несколько рабочих вариантов решения проблемы.","Ценю свою время, прикладываю все усилия чтобы уложиться в срок.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Могу отдать маленькую подзадачу на менее опытного сотрудника. Если не справится - не критично, сам исправлю.","Могу оценить аналогичную задачу (ранее выполненную).","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу более-менее оптимальное решение. Реализую, но не делаю попыток еще раз его переосмыслить. Потом если и найду решение, то промолчу об этом.","Погуглю, посмотрю tutorial-ы, спрошу у коллег. Задачу решу! Но бывает “встаю в ступор” над подобными задачами."
"2016/03/01 9:29:12 pm GMT+4","От 1 года до 3 лет.","middle_03","Хорошо ориентируюсь в проекте - могу предложить несколько рабочих вариантов решения проблемы.","Иногда не успеваю, откладываю на следующий день.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.","Хорошо делю задачи на логические части, знаю кто из сотрудников с чем справится.","Ошибаюсь в оценке не более чем на ⅓ от реального времени.","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу более-менее оптимальное решение. Реализую, но не делаю попыток еще раз его переосмыслить. Потом если и найду решение, то промолчу об этом.","Погуглю. Поищу нужную информацию. Поспрашиваю может кто-что знает. Найду решение в конце концов, но затратив много времени."
"2016/03/01 9:29:44 pm GMT+4","От 1 года до 3 лет.","middle_04","Хорошо ориентируюсь в проекте - могу предложить несколько рабочих вариантов решения проблемы.","Ценю свою время, прикладываю все усилия чтобы уложиться в срок.","Умею находить общий язык с коллегами.;Соблюдаю правила внутри коллектива (график/распорядок/субординация).;С удовольствием участвую во вне рабочей активности/развлечениях со своими коллегами.;Без проблем могу позвонить коллеге по рабочему вопросу, даже если никогда раньше не общались.;Всегда остаюсь работать после завершения рабочего дня, если на то есть веские причины. (Не хочу подводить коллег/помогаю новичкам и малоопытным сотрудникам)","Хорошо делю задачи на логические части, знаю кто из сотрудников с чем справится.","Могу разделить задачу, оценить каждую часть и посчитать сумму.","Могу сформулировать суть задачи, объяснить, что может быть предпринято для её решения","Нахожу оптимальное решение. Реализую его, однако не делаю попыток еще раз его переосмыслить. Если потом все же найду решение лучше, то немедленно вынесу вопрос о его внедрении.","Умею гуглить, найду что-нибудь на ""stack overflow"" или подсмотрю интересный алгоритм, спрошу у коллег. Умею решать задачи поэтапно, полон идей,""нерешаемых"" задач не бывает!"
